ymdhm,pred_wl_jamsu
2023-01-01 22:00:00,258.58982767144596
2023-01-01 22:10:00,259.4995582781011
2023-01-01 22:20:00,259.4905564648605
2023-01-01 22:30:00,259.4602984838685
2023-01-01 22:40:00,259.4602984838685
2023-01-01 22:50:00,258.62846378987456
2023-01-01 23:00:00,258.5791183639751
2023-01-01 23:10:00,258.68660360014695
2023-01-01 23:20:00,259.54403915441617
2023-01-01 23:30:00,259.5683097827743
2023-01-01 23:40:00,259.5844512903426
2023-01-01 23:50:00,259.4574173806496
2023-01-02 00:00:00,259.4574173806496
2023-01-02 00:10:00,258.8024847642995
2023-01-02 00:20:00,258.6262192869354
2023-01-02 00:30:00,259.6145439492356
2023-01-02 00:40:00,259.5685451943226
2023-01-02 00:50:00,258.65618587426854
2023-01-02 01:00:00,258.4981406034993
